Split,Category,Train WAPE (%),Val WAPE (%),Test WAPE (%),Test R2
TimeSeriesCV (gap=35),"Furniture, Cabinets & Storage Furniture",3.9,,22.74,-0.49
TimeSeriesCV (gap=35),"Garden, Bird Feeding & Outdoor Décor",5.36,,70.13,-3.28
TimeSeriesCV (gap=35),"Gift Wrap, Tape & Ribbons",4.27,,40.49,-2.225
TimeSeriesCV (gap=35),"Glass Jars, Bottles & Vases",6.5,,40.02,-1.222
TimeSeriesCV (gap=35),Hair Accessories,8.89,,81.81,-2.502
TimeSeriesCV (gap=35),Hand Warmers & Umbrellas,6.38,,62.08,-4.589
TimeSeriesCV (gap=35),Hot Water Bottles,4.87,,137.61,-35.1
TimeSeriesCV (gap=35),"Jewellery - Bracelets, Rings & Brooches",4.71,,45.12,-1.958
TimeSeriesCV (gap=35),Jewellery - Earrings,10.85,,94.98,-0.681
TimeSeriesCV (gap=35),Jewellery - Necklaces,10.44,,79.22,-1.347
TimeSeriesCV (gap=35),"Jigsaw Puzzles, Card Games & Board Games",7.06,,47.72,-1.905
TimeSeriesCV (gap=35),Jumbo Bags & Shoppers,6.65,,44.5,-1.502
TimeSeriesCV (gap=35),Kitchen Storage & Containers,7.67,,40.86,-1.156
TimeSeriesCV (gap=35),Kitchen Utensils & Tools,4.26,,35.56,-1.485
TimeSeriesCV (gap=35),Lamps & Lampshades,12.04,,65.52,-1.883
TimeSeriesCV (gap=35),Lanterns,8.99,,77.47,-7.901
TimeSeriesCV (gap=35),Lunch Boxes & Snack Bags,5.28,,34.54,-1.013
TimeSeriesCV (gap=35),Memo Boards & Blackboards,6.5,,46.47,-0.344
TimeSeriesCV (gap=35),Metal Signs & Plaques,4.79,,34.42,-0.37
TimeSeriesCV (gap=35),Mirrors,6.78,,54.62,-0.848
TimeSeriesCV (gap=35),"Mugs, Cups & Glasses",3.54,,28.0,-0.115
TimeSeriesCV (gap=35),"Paper Napkins, Doilies & Bunting",3.6,,25.89,-0.697
TimeSeriesCV (gap=35),Party & Event Accessories,8.14,,51.91,-1.859
TimeSeriesCV (gap=35),Picture Frames & Photo Accessories,5.48,,36.85,-0.906
TimeSeriesCV (gap=35),"Plates, Bowls, Trays & Serveware",3.99,,57.98,-5.864
TimeSeriesCV (gap=35),Sewing & Craft Kits,4.67,,44.22,-1.7
TimeSeriesCV (gap=35),"Stationery, Notebooks & Greeting Cards",4.21,,40.46,-2.487
TimeSeriesCV (gap=35),"Stickers, Patches & Badges",7.82,,65.05,-2.046
TimeSeriesCV (gap=35),Tea & Coffee Sets,8.35,,43.86,-0.585
TimeSeriesCV (gap=35),Tealight Holders & Sets,3.35,,29.48,-3.302
TimeSeriesCV (gap=35),Travel & Office Accessories,7.65,,51.19,-0.669
TimeSeriesCV (gap=35),Trinket Boxes & Keepsakes,4.76,,42.02,-0.761
TimeSeriesCV (gap=35),Unclassified,6.17,,135.61,-5.847
TimeSeriesCV (gap=35),Wall Art & Prints,11.51,,79.8,-1.148
TimeSeriesCV (gap=35),Wooden Letters & Number Tiles,4.53,,41.73,-2.497
