Category,Model,Train WAPE (%),Train R2,Validation WAPE (%),Validation R2,Test WAPE (%),Test R2,Test MAE,Test RMSE,Test Bias,X,Y,split_strategy,selected_on_validation
Hot Water Bottles,Random Forest,5.542,0.991,80.884,-4.157,83.406,-7.272,2621.301,2788.179,-2621.301,7,7,purged_chronological,False
Hot Water Bottles,XGBoost,0.517,1.0,71.565,-3.165,70.24,-5.187,2207.534,2411.36,-2207.534,7,7,purged_chronological,False
"Jewellery - Bracelets, Rings & Brooches",7-Day Rolling Sum Baseline,40.471,-0.141,72.604,-1.859,29.907,-1.373,546.196,709.524,-62.745,7,7,purged_chronological,False
"Jewellery - Bracelets, Rings & Brooches",Linear Regression,22.98,0.625,51.428,-0.397,24.599,-0.662,449.254,593.832,-391.516,7,7,purged_chronological,False
"Jewellery - Bracelets, Rings & Brooches",Random Forest,4.837,0.978,40.048,-0.12,57.795,-5.24,1055.515,1150.642,-1055.515,7,7,purged_chronological,True
"Jewellery - Bracelets, Rings & Brooches",XGBoost,0.269,1.0,40.159,-0.11,55.395,-4.789,1011.689,1108.308,-1011.689,7,7,purged_chronological,False
Jewellery - Earrings,7-Day Rolling Sum Baseline,124.785,-0.976,94.822,-2.37,114.83,-1.845,130.118,159.613,-1.176,7,7,purged_chronological,False
Jewellery - Earrings,Linear Regression,74.624,0.352,55.083,-0.153,96.384,-1.282,109.216,142.948,-92.499,7,7,purged_chronological,True
Jewellery - Earrings,Random Forest,13.835,0.956,58.388,-0.563,78.17,-0.9,88.577,130.429,-85.6,7,7,purged_chronological,False
Jewellery - Earrings,XGBoost,1.647,1.0,64.255,-1.015,82.246,-0.979,93.196,133.128,-90.545,7,7,purged_chronological,False
Jewellery - Necklaces,7-Day Rolling Sum Baseline,103.116,-1.427,109.841,-0.657,38.109,-1.821,15.02,21.015,-4.627,7,7,purged_chronological,False
Jewellery - Necklaces,Linear Regression,55.108,0.262,84.836,-0.09,85.035,-9.122,33.514,39.809,-11.73,7,7,purged_chronological,True
